region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue
,2025-07-01,Onsite,Adx,DM Network,Web+App,163.61180880206012
,2025-04-01,Offsite,Adx,DM Network,Web+App,0.52587258347611665
,2025-01-01,Offsite,Adx,DM Network,Web+App,0.39620510598548619
,2025-06-01,Offsite,Adx,DM Network,Web+App,47.631844996165796
,2025-05-01,Offsite,Adx,DM Network,Web+App,8.490561465009181
,2025-01-01,Onsite,Adx,DM Network,Web+App,29.020208444283089
,2025-07-01,Offsite,Adx,DM Network,Web+App,26.1580988238759
,2025-02-01,Onsite,Adx,DM Network,Web+App,39.336132718943382
,2025-02-01,Offsite,Adx,DM Network,Web+App,0.37584621822251618
,2025-03-01,Onsite,Adx,DM Network,Web+App,33.530722640242978
,2025-06-01,Onsite,Adx,DM Network,Web+App,113.23312128932861
,2025-04-01,Onsite,Adx,DM Network,Web+App,79.697543212750475
,2025-05-01,Onsite,Adx,DM Network,Web+App,64.46331139609569
,2025-03-01,Offsite,Adx,DM Network,Web+App,1.8103940940080412
APAC,2025-03-01,Offsite,Adx,DM Network,Web+App,2914.6088420335645
APAC,2025-01-01,Onsite,Adx,DM Network,Web+App,114847.69501227552
APAC,2025-06-01,Onsite,Adx,DM Network,Web+App,168840.65541044128
APAC,2025-07-01,Offsite,Adx,DM Network,Web+App,3698.2499608666567
APAC,2025-05-01,Offsite,Adx,DM Network,Web+App,3832.0923728608363
APAC,2025-02-01,Onsite,Adx,DM Network,Web+App,145038.24717500727
APAC,2025-04-01,Offsite,Adx,DM Network,Web+App,2519.3511264181939
APAC,2025-02-01,Offsite,Adx,DM Network,Web+App,1971.9577727418489
APAC,2025-04-01,Onsite,Adx,DM Network,Web+App,113139.68848833229
APAC,2025-07-01,Onsite,Adx,DM Network,Web+App,100361.46150127625
APAC,2025-03-01,Onsite,Adx,DM Network,Web+App,154752.54253567551
APAC,2025-06-01,Offsite,Adx,DM Network,Web+App,6214.4465276847159
APAC,2025-05-01,Onsite,Adx,DM Network,Web+App,121148.71056459009
APAC,2025-01-01,Offsite,Adx,DM Network,Web+App,1838.2621336942277
