region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue,revenue_EUR
,2025-05-01,Audience Extension,Sales Driven Direct,DV360,CTV,0.13500000635294149,0.11700468569331036
,2025-04-01,Offsite,Open Auction,DM Network,Web+App,255.38815396074634,235.91349495242378
,2025-03-01,Offsite,Open Auction,DM Network,Web+App,578.52845575385493,554.5975705831903
,2025-06-01,Offsite,Adx,DM Network,Web+App,47.6318449961658,42.040463368195766
,2025-07-01,Offsite,Adx,DM Network,Web+App,26.158098823875893,22.677155460663972
,2025-04-01,Offsite,Adx,DM Network,Web+App,0.52587258347611676,0.48577209687877404
,2025-06-01,Offsite,Other,DM Network,Web+App,0.2267,0.20008826125330981
,2025-05-01,Offsite,Open Auction,DM Network,Web+App,59.698018025399065,51.7403519027553
,2025-02-01,Offsite,Other,DM Network,Web+App,0.014760438718022344,0.014183183163276972
,2025-02-01,Offsite,Open Auction,DM Network,Web+App,77.548846581754873,74.516043606951939
,2025-07-01,Offsite,Other,DM Network,Web+App,0.0484,0.041959254442999569
,2025-03-01,Offsite,Adx,DM Network,Web+App,1.8103940940080412,1.735506968324825
,2025-05-01,Offsite,Other,DM Network,Web+App,0.0075,0.0065002600104004165
,2025-01-01,Offsite,Other,DM Network,Web+App,0.049479052267974076,0.047082550450065735
,2025-07-01,Offsite,Open Auction,DM Network,Web+App,21.009842885332642,18.213994699031332
,2025-05-01,Offsite,Sales Driven Direct,DM Network,Web+App,0.006,0.0052002080083203336
,2025-06-01,Offsite,Open Auction,DM Network,Web+App,71.8247546009954,63.393428597524625
,2025-01-01,Offsite,Adx,DM Network,Web+App,0.39620510598548614,0.37701504042771544
,2025-04-01,Offsite,Other,DM Network,Web+App,0.021850000000000005,0.020183825227472179
,2025-02-01,Offsite,Adx,DM Network,Web+App,0.37584621822251629,0.36114751438696674
,2025-01-01,Offsite,Open Auction,DM Network,Web+App,12.71359248846608,12.097813767690628
,2025-03-01,Offsite,Other,DM Network,Web+App,0.0304939535763101,0.029232568256061065
,2025-05-01,Offsite,Adx,DM Network,Web+App,8.4905614650091863,7.3587809542461313
,2025-05-01,Onsite,Other,DM Network,Web+App,0.010499999999999999,0.0091003640145605816
,2025-06-01,Onsite,Sales Driven Prog,DM Network,Web+App,0.035854105878464188,0.03164528321135409
,2025-01-01,Onsite,Other,DM Network,Web+App,0.037718816999999988,0.035891918355695107
,2025-02-01,Onsite,Open Auction,DM Network,Web+App,21.167761399261021,20.339926394985127
,2025-02-01,Onsite,Adx,DM Network,Web+App,39.336132718943361,37.797763734931642
,2025-07-01,Onsite,Sales Driven Direct,DM Network,Web+App,1.83738532128416,1.5928784753222021
,2025-07-01,Onsite,Other,DM Network,Web+App,24.017992783699928,20.821840297962659
,2025-05-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.034515029,0.029914221702201427
,2025-01-01,Onsite,Open Auction,DM Network,Web+App,4.9527717675216465,4.7128858764122628
,2025-04-01,Onsite,Sales Driven Prog,DM Network,Web+App,0.02242,0.02071035979862362
,2025-05-01,Onsite,Open Auction,DM Network,Web+App,103.85812966317731,90.013979600604358
,2025-03-01,Onsite,Other,DM Network,Web+App,0.0015282595898194174,0.001465042985015978
,2025-02-01,Onsite,Other,DM Network,Web+App,0.0057351569999999994,0.0055108648025367539
,2025-03-01,Onsite,Open Auction,DM Network,Web+App,119.46828869158394,114.52647144857781
,2025-06-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.005596472,0.0049395163283318623
,2025-04-01,Onsite,Adx,DM Network,Web+App,79.697543212750375,73.620196030437739
,2025-04-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.11720485299999997,0.10826738072144472
,2025-01-01,Onsite,Sales Driven Prog,DM Network,Web+App,0.724067329247301,0.6889973634478076
,2025-02-01,Onsite,Sales Driven Prog,DM Network,Web+App,1.0464978708533126,1.0055711260241305
,2025-03-01,Onsite,Adx,DM Network,Web+App,33.530722640242963,32.143721075821276
,2025-03-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.15219322807401192,0.14589774056848193
,2025-05-01,Onsite,Sales Driven Prog,DM Network,Web+App,1.2506000000000002,1.0838966892009017
,2025-03-01,Onsite,Sales Driven Prog,DM Network,Web+App,0.21383125517444598,0.20498610475429802
,2025-07-01,Onsite,Adx,DM Network,Web+App,163.61180880206021,141.8394527976248
,2025-02-01,Onsite,Sales Driven Direct,DM Network,Web+App,0.17295353,0.16618961276064187
,2025-05-01,Onsite,Adx,DM Network,Web+App,64.4633113960957,55.870438027470712
